states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
AS,Golaghat,0,0,0,0,504,2676,0,0,0,0,0,0,0,0,0,0,0,0,6525,51417,0,0,0,0,1/2/2021,0,0,1058674,0,0,0,0,711564,306745,0
AS,Hailakandi,0,0,0,0,88,705,0,0,0,0,0,0,0,0,0,0,0,0,1724,11247,0,0,0,0,1/2/2021,0,0,659260,0,0,0,0,422295,146888,0
AS,Hojai,0,0,0,0,512,2979,0,0,0,0,0,0,0,0,0,0,0,0,6217,36724,0,0,0,0,1/2/2021,0,0,931218,0,0,0,0,602504,274035,0
AS,Jorhat,0,0,0,0,225,2154,0,0,0,0,0,0,0,0,0,0,0,0,3383,39677,0,0,0,0,1/2/2021,0,0,1091295,0,0,0,0,649267,297724,0
AS,Kamrup,0,0,0,0,231,253,0,0,0,0,0,0,0,0,0,0,0,0,10451,45828,0,0,0,0,1/2/2021,0,0,1517202,0,0,0,0,1079092,409628,0
AS,Kamrup Metropolitan,0,0,0,0,359,1713,0,0,0,0,0,0,0,0,0,0,0,0,6625,38155,0,0,0,0,1/2/2021,0,0,1260419,0,0,0,0,1246239,875897,0
AS,Karbi Anglong,0,0,0,0,342,280,0,0,0,0,0,0,0,0,0,0,0,0,13744,12778,0,0,0,0,1/2/2021,0,0,965280,0,0,0,0,284600,102798,0
AS,Karimganj,0,0,0,0,331,1382,0,0,0,0,0,0,0,0,0,0,0,0,5088,20659,0,0,0,0,1/2/2021,0,0,1217002,0,0,0,0,681216,203575,0
AS,Kokrajhar,0,0,0,0,162,823,0,0,0,0,0,0,0,0,0,0,0,0,3935,19711,0,0,0,0,1/2/2021,0,0,886999,0,0,0,0,538901,156488,0
AS,Lakhimpur,0,0,0,0,148,1555,0,0,0,0,0,0,0,0,0,0,0,0,5870,42164,0,0,0,0,1/2/2021,0,0,1040644,0,0,0,0,681386,301369,0
AS,Majuli,0,0,0,0,36,166,0,0,0,0,0,0,0,0,0,0,0,0,1524,7176,0,0,0,0,1/2/2021,0,0,167304,0,0,0,0,117599,82507,0
AS,Morigaon,0,0,0,0,264,482,0,0,0,0,0,0,0,0,0,0,0,0,5298,27861,0,0,0,0,1/2/2021,0,0,957853,0,0,0,0,592446,212146,0
